company_name,cik,filing_date,exec_name,name,current_role,age,compensation_salary,compensation_stock,compensation_bonus,compensation_other,compensation_total,compensation_year,education,start_date,past_roles,board_member,committee_memberships,other_board_memberships,notable_achievements
CATERPILLAR INC,0000018230,2019-04-26,David L. Calhoun,David L. Calhoun,Director,64,220000,150096,0,0,370096,2021,[],2011,"['President and CEO of The Boeing Company', 'Senior Managing Director and Head of Portfolio Operations at The Blackstone Group', 'Executive Chairman of the Board for Nielsen Holdings', 'CEO of Nielsen Holdings']",True,"['Public Policy and Governance, Chair']",['The Boeing Company'],
CATERPILLAR INC,0000018230,2019-04-26,Daniel M. Dickinson,Daniel M. Dickinson,Director,60,180000,150096,0,22165,352261,2021,[],2006,['Managing Partner of HCI Equity Partners'],True,"['Audit, Chair']",[],
CATERPILLAR INC,0000018230,2019-04-26,Gerald Johnson,Gerald Johnson,Director,59,125000,124907,0,0,249907,2021,[],2021,"['Executive Vice President, Global Manufacturing and Sustainability of General Motors Company', 'Vice President North America Manufacturing and Labor Relations', 'Vice President Global Operational Excellence']",True,['Public Policy and Governance'],[],
CATERPILLAR INC,0000018230,2019-04-26,David W. MacLennan,David W. MacLennan,Director,62,107260,107240,0,0,214500,2021,[],2021,"['Board Chair and CEO of Cargill, Inc.']",True,['Audit'],['Ecolab Inc.'],
CATERPILLAR INC,0000018230,2019-04-26,Debra L. Reed-Klages,Debra L. Reed-Klages,Director,65,167788,150096,0,10000,327884,2021,[],2015,['Former Chairman and CEO of Sempra Energy'],True,"['Compensation and Human Resources, Chair']","['Chevron Corporation', 'Lockheed Martin Corporation']",
CATERPILLAR INC,0000018230,2019-04-26,"Edward B. Rust, Jr.","Edward B. Rust, Jr.",Director,71,150000,150096,0,11014,311110,2021,[],2003,['Former Chairman and CEO of State Farm Mutual Automobile Insurance Company'],True,['Audit'],"['Helmerich & Payne, Inc.', 'S&P Global Inc.']",
CATERPILLAR INC,0000018230,2019-04-26,Susan C. Schwab,Susan C. Schwab,Director,67,150000,150096,0,10000,310096,2021,[],2009,"['Professor Emerita at the University of Maryland School of Public Policy', 'Strategic Advisor for Mayer Brown LLP', 'U.S. Trade Representative', 'Assistant Secretary of Commerce']",True,['Public Policy and Governance'],"['FedEx Corporation', 'Marriott International, Inc.']",
CATERPILLAR INC,0000018230,2019-04-26,D. James Umpleby III,D. James Umpleby III,Chairman and CEO of Caterpillar Inc.,64,1637500,17500000,4792980,0,23930480,2021,[],2017,"['Group President of Caterpillar', 'Vice President and President of Solar Turbines']",True,[],['Chevron Corporation'],
CATERPILLAR INC,0000018230,2019-04-26,"Rayford Wilkins, Jr.","Rayford Wilkins, Jr.",Director,70,150000,150096,0,0,300096,2021,[],2017,['Former CEO of Diversified Businesses at AT&T Inc.'],True,['Compensation and Human Resources'],"['Morgan Stanley', 'Valero Energy Corporation']",
CDW Corp,0001402057,2022-04-07,Christine A. Leahy,Christine A. Leahy,President and Chief Executive Officer,57,,,,,,2021,"[{'degree': 'JD', 'field': 'Law', 'university': 'Northwestern University School of Law', 'year': None}]",2002,"['Chief Revenue Officer', 'Senior Vice President-International', 'Chief Legal Officer/General Counsel and Corporate Secretary']",True,[],['Target Corporation'],
CDW Corp,0001402057,2022-04-07,Albert J. Miralles,Albert J. Miralles,Senior Vice President and Chief Financial Officer,,,,,,,2021,[],,[],False,[],[],
CDW Corp,0001402057,2022-04-07,Sona Chawla,Sona Chawla,Chief Growth and Innovation Officer,,,,,,,2021,[],,[],False,[],[],
CDW Corp,0001402057,2022-04-07,Christina M. Corley,Christina M. Corley,Chief Commercial and Operating Officer,,,,,,,2021,[],,[],False,[],[],
CDW Corp,0001402057,2022-04-07,Elizabeth H. Connelly,Elizabeth H. Connelly,"Chief Coworker Services Officer and Senior Vice President, Coworker Services",,,,,,,2021,[],,[],False,[],[],
CDW Corp,0001402057,2022-04-07,Collin B. Kebo,Collin B. Kebo,Former Senior Vice President and Chief Financial Officer,,,,,,,2021,[],,[],False,[],[],
CDW Corp,0001402057,2021-04-08,Christine A. Leahy,Christine A. Leahy,President and Chief Executive Officer,57,,,,,,2021,"[{'degree': 'JD', 'field': 'Law', 'university': 'Sidley Austin', 'year': None}]",2002,"['Chief Revenue Officer', 'Senior Vice President-International', 'Chief Legal Officer/General Counsel and Corporate Secretary']",True,[],['Target Corporation'],
CDW Corp,0001402057,2021-04-08,Albert J. Miralles,Albert J. Miralles,Senior Vice President and Chief Financial Officer,,,,,,,2021,[],,[],False,[],[],
CDW Corp,0001402057,2021-04-08,Sona Chawla,Sona Chawla,Chief Growth and Innovation Officer,,,,,,,2021,[],,[],False,[],[],
CDW Corp,0001402057,2021-04-08,Christina M. Corley,Christina M. Corley,Chief Commercial and Operating Officer,,,,,,,2021,[],,[],False,[],[],
CDW Corp,0001402057,2021-04-08,Elizabeth H. Connelly,Elizabeth H. Connelly,"Chief Coworker Services Officer and Senior Vice President, Coworker Services",,,,,,,2021,[],,[],False,[],[],
CDW Corp,0001402057,2021-04-08,Collin B. Kebo,Collin B. Kebo,Former Senior Vice President and Chief Financial Officer,,,,,,,2021,[],,[],False,[],[],
CDW Corp,0001402057,2020-04-10,Christine A. Leahy,Christine A. Leahy,President and Chief Executive Officer,57,,,,,,2021,"[{'degree': 'JD', 'field': 'Law', 'university': 'Northwestern University Pritzker School of Law', 'year': None}]",2002,"['Chief Revenue Officer', 'Senior Vice President-International', 'Chief Legal Officer/General Counsel and Corporate Secretary']",True,[],['Target Corporation'],
CDW Corp,0001402057,2020-04-10,Albert J. Miralles,Albert J. Miralles,Senior Vice President and Chief Financial Officer,,,,,,,2021,[],,[],False,[],[],
CDW Corp,0001402057,2020-04-10,Sona Chawla,Sona Chawla,Chief Growth and Innovation Officer,,,,,,,2021,[],,[],False,[],[],
CDW Corp,0001402057,2020-04-10,Christina M. Corley,Christina M. Corley,Chief Commercial and Operating Officer,,,,,,,2021,[],,[],False,[],[],
CDW Corp,0001402057,2020-04-10,Elizabeth H. Connelly,Elizabeth H. Connelly,"Chief Coworker Services Officer and Senior Vice President, Coworker Services",,,,,,,2021,[],,[],False,[],[],
CDW Corp,0001402057,2020-04-10,Collin B. Kebo,Collin B. Kebo,Former Senior Vice President and Chief Financial Officer,,,,,,,2021,[],,[],False,[],[],
CDW Corp,0001402057,2019-04-10,Christine A. Leahy,Christine A. Leahy,President and Chief Executive Officer,57,,,,,,2021,"[{'degree': 'JD', 'field': 'Law', 'university': 'Northwestern University Pritzker School of Law', 'year': None}]",2002,"['Chief Revenue Officer', 'Senior Vice President-International', 'Chief Legal Officer/General Counsel and Corporate Secretary']",True,[],['Target Corporation'],
CDW Corp,0001402057,2019-04-10,Albert J. Miralles,Albert J. Miralles,Senior Vice President and Chief Financial Officer,,,,,,,2021,[],,[],False,[],[],
CDW Corp,0001402057,2019-04-10,Sona Chawla,Sona Chawla,Chief Growth and Innovation Officer,,,,,,,2021,[],,[],False,[],[],
CDW Corp,0001402057,2019-04-10,Christina M. Corley,Christina M. Corley,Chief Commercial and Operating Officer,,,,,,,2021,[],,[],False,[],[],
CDW Corp,0001402057,2019-04-10,Elizabeth H. Connelly,Elizabeth H. Connelly,"Chief Coworker Services Officer and Senior Vice President, Coworker Services",,,,,,,2021,[],,[],False,[],[],
CDW Corp,0001402057,2019-04-10,Collin B. Kebo,Collin B. Kebo,Former Senior Vice President and Chief Financial Officer,,,,,,,2021,[],,[],False,[],[],
Coterra Energy Inc.,0000858470,2022-03-18,Dan O. Dinges,Dan O. Dinges,Executive Chairman,68,1100000,4500000,1430000,0,7030000,2022,[],2001,"['Chairman, President and Chief Executive Officer']",True,['Executive'],['United States Steel Corporation'],
Coterra Energy Inc.,0000858470,2022-03-18,Thomas E. Jorden,Thomas E. Jorden,Chief Executive Officer and President,65,1125000,10000000,1462500,0,12637500,2022,[],2021,['Chief Executive Officer of Cimarex Energy Co.'],True,['Executive'],[],
Coterra Energy Inc.,0000858470,2022-03-18,Scott C. Schroeder,Scott C. Schroeder,Executive Vice President and Chief Financial Officer,,629000,0,691900,5243700,6564600,2021,[],,[],False,[],[],
Coterra Energy Inc.,0000858470,2022-03-18,Stephen P. Bell,Stephen P. Bell,"Executive Vice President, Business Development",,554000,3000000,720200,0,4274200,2021,[],,[],False,[],[],
Coterra Energy Inc.,0000858470,2022-03-18,Phillip L. Stalnaker,Phillip L. Stalnaker,"Senior Vice President, Marcellus Business Unit",,445000,750000,356000,3131700,4682700,2021,[],,[],False,[],[],
Coterra Energy Inc.,0000858470,2022-03-18,Steven W. Lindeman,Steven W. Lindeman,"Senior Vice President, Production and Operations",,445000,750000,356000,3131700,4682700,2021,[],,[],False,[],[],
Coterra Energy Inc.,0000858470,2022-03-18,Jeffrey W. Hutton,Jeffrey W. Hutton,"Senior Vice President, Marketing",,445000,0,356000,3131700,3932700,2021,[],,[],False,[],[],
Coterra Energy Inc.,0000858470,2021-03-12,Dan O. Dinges,Dan O. Dinges,Executive Chairman,68,1100000,4500000,1430000,0,7030000,2022,[],2001,"['Chairman, President and Chief Executive Officer']",True,['Executive'],['United States Steel Corporation'],
Coterra Energy Inc.,0000858470,2021-03-12,Thomas E. Jorden,Thomas E. Jorden,Chief Executive Officer and President,65,1125000,10000000,1462500,0,12637500,2022,[],2021,['Chief Executive Officer of Cimarex Energy Co.'],True,['Executive'],[],
Coterra Energy Inc.,0000858470,2021-03-12,Scott C. Schroeder,Scott C. Schroeder,Executive Vice President and Chief Financial Officer,,629000,0,691900,5243700,6564600,2022,[],,[],False,[],[],
Coterra Energy Inc.,0000858470,2021-03-12,Stephen P. Bell,Stephen P. Bell,"Executive Vice President, Business Development",,554000,3000000,720200,0,4274200,2022,[],,[],False,[],[],
Coterra Energy Inc.,0000858470,2021-03-12,Phillip L. Stalnaker,Phillip L. Stalnaker,"Senior Vice President, Marcellus Business Unit",,445000,750000,356000,3131700,4682700,2022,[],,[],False,[],[],
Coterra Energy Inc.,0000858470,2021-03-12,Steven W. Lindeman,Steven W. Lindeman,"Senior Vice President, Production and Operations",,445000,750000,356000,3131700,4682700,2022,[],,[],False,[],[],
Coterra Energy Inc.,0000858470,2021-03-12,Jeffrey W. Hutton,Jeffrey W. Hutton,"Senior Vice President, Marketing",,445000,0,356000,3131700,3932700,2022,[],,[],False,[],[],
Coterra Energy Inc.,0000858470,2020-03-17,Dan O. Dinges,Dan O. Dinges,Executive Chairman,68,1100000,4500000,1430000,,7030000,2022,[],2001,"['Chairman, President and Chief Executive Officer']",True,['Executive'],['United States Steel Corporation'],
Coterra Energy Inc.,0000858470,2020-03-17,Thomas E. Jorden,Thomas E. Jorden,Chief Executive Officer and President,67,1125000,10000000,1462500,,12612500,2022,[],2021,['Chief Executive Officer of Cimarex Energy Co.'],True,['Executive'],[],
Coterra Energy Inc.,0000858470,2020-03-17,Scott C. Schroeder,Scott C. Schroeder,Executive Vice President and Chief Financial Officer,,629000,,691900,5243700,6564600,2021,[],,[],False,[],[],
Coterra Energy Inc.,0000858470,2020-03-17,Stephen P. Bell,Stephen P. Bell,"Executive Vice President, Business Development",,554000,3000000,,,3554000,2021,[],,[],False,[],[],
Coterra Energy Inc.,0000858470,2020-03-17,Phillip L. Stalnaker,Phillip L. Stalnaker,"Senior Vice President, Marcellus Business Unit",,445000,750000,356000,3131700,4682700,2021,[],,[],False,[],[],
Coterra Energy Inc.,0000858470,2020-03-17,Steven W. Lindeman,Steven W. Lindeman,"Senior Vice President, Production and Operations",,445000,750000,356000,3131700,4682700,2021,[],,[],False,[],[],
Coterra Energy Inc.,0000858470,2020-03-17,Jeffrey W. Hutton,Jeffrey W. Hutton,"Senior Vice President, Marketing",,445000,,356000,3131700,3932700,2021,[],,[],False,[],[],
Coterra Energy Inc.,0000858470,2019-03-19,Dan O. Dinges,Dan O. Dinges,Executive Chairman,68,1100000,4500000,1430000,0,7030000,2022,[],2001,"['Chairman, President and Chief Executive Officer']",True,['Executive'],['United States Steel Corporation'],
Coterra Energy Inc.,0000858470,2019-03-19,Thomas E. Jorden,Thomas E. Jorden,Chief Executive Officer and President,67,1125000,10000000,1462500,0,12637500,2022,[],2021,['Chief Executive Officer of Cimarex Energy Co.'],True,['Executive'],[],
Coterra Energy Inc.,0000858470,2019-03-19,Scott C. Schroeder,Scott C. Schroeder,Executive Vice President and Chief Financial Officer,,629000,0,691900,5243700,6564600,2021,[],,[],False,[],[],
Coterra Energy Inc.,0000858470,2019-03-19,Stephen P. Bell,Stephen P. Bell,"Executive Vice President, Business Development",,554000,3000000,720200,0,4274200,2021,[],,[],False,[],[],
Coterra Energy Inc.,0000858470,2019-03-19,Phillip L. Stalnaker,Phillip L. Stalnaker,"Senior Vice President, Marcellus Business Unit",,445000,750000,356000,3131700,4682700,2021,[],,[],False,[],[],
Coterra Energy Inc.,0000858470,2019-03-19,Steven W. Lindeman,Steven W. Lindeman,"Senior Vice President, Production and Operations",,445000,750000,356000,3131700,4682700,2021,[],,[],False,[],[],
Coterra Energy Inc.,0000858470,2019-03-19,Jeffrey W. Hutton,Jeffrey W. Hutton,"Senior Vice President, Marketing",,445000,0,356000,3131700,3932700,2021,[],,[],False,[],[],
"Diamondback Energy, Inc.",0001539838,2022-04-28,Travis D. Stice,Travis D. Stice,"Chairman of the Board, Chief Executive Officer and Director",60,1250000,6782093,2921875,344831,13839995,2021,[],,[],True,[],[],
"Diamondback Energy, Inc.",0001539838,2022-04-28,Kaes Van’t Hof,Kaes Van’t Hof,President and Chief Financial Officer,35,520000,3560638,875160,953546,7243474,2021,"[{'degree': 'Bachelor of Science', 'field': 'Accounting and Business Administration', 'university': 'University of Southern California', 'year': None}]",July 2016,"['Chief Financial Officer and Executive Vice President of Business Development', 'Senior Vice President of Strategy and Corporate Development', 'Vice President of Strategy and Corporate Development']",True,[],"['President and director of the general partner of Viper', 'President and director of the general partner of Rattler']",
"Diamondback Energy, Inc.",0001539838,2022-04-28,Teresa L. Dick,Teresa L. Dick,"Executive Vice President, Chief Accounting Officer and Assistant Secretary",52,447000,2034575,668712,167434,4080102,2021,"[{'degree': 'Bachelor of Business Administration', 'field': 'Accounting', 'university': 'University of Northern Colorado', 'year': None}]",November 2007,"['Executive Vice President and Chief Financial Officer', 'Assistant Secretary', 'Chief Financial Officer and Senior Vice President', 'Corporate Controller']",True,"['Audit Committee', 'Nominating and Corporate Governance Committee']","['Chief Financial Officer, Executive Vice President and Assistant Secretary of the general partner of Viper', 'Chief Financial Officer, Executive Vice President and Assistant Secretary of the general partner of Rattler']",
"Diamondback Energy, Inc.",0001539838,2022-04-28,Thomas F. Hawkins,Thomas F. Hawkins,Executive Vice President—Special Projects,68,,,,,,,"[{'degree': 'Bachelor of Business Administration', 'field': 'Finance', 'university': 'University of Texas at El Paso', 'year': None}]",,"['Executive Vice President—Land', 'Senior Vice President—Land']",False,[],[],
"Diamondback Energy, Inc.",0001539838,2022-04-28,Jennifer Soliman,Jennifer Soliman,Executive Vice President and Chief Human Resources Officer,52,,,,,,,"[{'degree': 'Bachelor of Arts', 'field': 'Organizational Behavior', 'university': 'Rollins College', 'year': None}, {'degree': 'Master of Business Administration', 'field': None, 'university': 'Rice University', 'year': None}]",,['Senior Vice President and Chief Human Resources Officer'],False,[],['Board of Jones Partners at the Rice Business School'],
"Diamondback Energy, Inc.",0001539838,2022-04-28,Daniel N. Wesson,Daniel N. Wesson,Executive Vice President and Chief Operating Officer,38,,,,,,,"[{'degree': 'Bachelor of Science', 'field': 'Mechanical Engineering', 'university': 'Louisiana State University', 'year': None}]",February 2012,"['Executive Vice President of Operations', 'Senior Vice President of Operations', 'Vice President of Operations', 'Completions Manager', 'Operations Engineer']",False,[],[],
"Diamondback Energy, Inc.",0001539838,2022-04-28,Matt Zmigrosky,Matt Zmigrosky,"Executive Vice President, General Counsel and Secretary",43,520000,1627765,777920,125402,3660992,2021,"[{'degree': 'Bachelor of Science in Management', 'field': 'Finance', 'university': 'Tulane University', 'year': None}, {'degree': 'Juris Doctorate', 'field': None, 'university': 'Southern Methodist University Dedman School of Law', 'year': None}]",February 2019,[],False,[],"['Executive Vice President, General Counsel and Secretary of the general partners of Viper and Rattler']",
"Diamondback Energy, Inc.",0001539838,2021-04-23,Travis D. Stice,Travis D. Stice,"Chairman of the Board, Chief Executive Officer and Director",60,1250000,6782093,2921875,344831,13839995,2021,[],,[],True,[],[],
"Diamondback Energy, Inc.",0001539838,2021-04-23,Kaes Van’t Hof,Kaes Van’t Hof,President and Chief Financial Officer,35,520000,3560638,875160,953546,7243474,2021,"[{'degree': 'Bachelor of Science', 'field': 'Accounting and Business Administration', 'university': 'University of Southern California', 'year': None}]",July 2016,"['Chief Financial Officer and Executive Vice President of Business Development', 'Senior Vice President of Strategy and Corporate Development', 'Vice President of Strategy and Corporate Development']",True,[],"['President and director of the general partner of Viper', 'President and director of the general partner of Rattler']",
"Diamondback Energy, Inc.",0001539838,2021-04-23,Teresa L. Dick,Teresa L. Dick,"Executive Vice President, Chief Accounting Officer and Assistant Secretary",52,447000,2034575,668712,167434,4080102,2021,"[{'degree': 'Bachelor of Business Administration', 'field': 'Accounting', 'university': 'University of Northern Colorado', 'year': None}]",November 2007,"['Executive Vice President and Chief Financial Officer', 'Assistant Secretary', 'Chief Financial Officer and Senior Vice President', 'Corporate Controller']",True,"['Audit Committee', 'Nominating and Corporate Governance Committee']","['Chief Financial Officer, Executive Vice President and Assistant Secretary of the general partner of Viper', 'Chief Financial Officer, Executive Vice President and Assistant Secretary of the general partner of Rattler']","Certified Public Accountant, member of the American Institute of CPAs and the Council of Petroleum Accountants Societies"
"Diamondback Energy, Inc.",0001539838,2021-04-23,Thomas F. Hawkins,Thomas F. Hawkins,Executive Vice President—Special Projects,68,,,,,,,"[{'degree': 'Bachelor of Business Administration', 'field': 'Finance', 'university': 'University of Texas at El Paso', 'year': None}]",,"['Executive Vice President—Land', 'Senior Vice President—Land']",False,[],[],
"Diamondback Energy, Inc.",0001539838,2021-04-23,Jennifer Soliman,Jennifer Soliman,Executive Vice President and Chief Human Resources Officer,52,,,,,,,"[{'degree': 'Bachelor of Arts', 'field': 'Organizational Behavior', 'university': 'Rollins College', 'year': None}, {'degree': 'Master of Business Administration', 'field': None, 'university': 'Rice University', 'year': None}]",,['Senior Vice President and Chief Human Resources Officer'],False,[],['Board of Jones Partners at the Rice Business School'],Previously served as a member of the United States Air Force Reserves
"Diamondback Energy, Inc.",0001539838,2021-04-23,Daniel N. Wesson,Daniel N. Wesson,Executive Vice President and Chief Operating Officer,38,,,,,,,"[{'degree': 'Bachelor of Science', 'field': 'Mechanical Engineering', 'university': 'Louisiana State University', 'year': None}]",February 2012,"['Executive Vice President of Operations', 'Senior Vice President of Operations', 'Vice President of Operations', 'Completions Manager', 'Operations Engineer']",False,[],[],Member of the Permian Basin Society of Petroleum Engineers
"Diamondback Energy, Inc.",0001539838,2021-04-23,Matt Zmigrosky,Matt Zmigrosky,"Executive Vice President, General Counsel and Secretary",43,520000,1627765,777920,125402,3660992,2021,"[{'degree': 'Bachelor of Science in Management', 'field': 'Finance', 'university': 'Tulane University', 'year': None}, {'degree': 'Juris Doctorate', 'field': None, 'university': 'Southern Methodist University Dedman School of Law', 'year': None}]",February 2019,[],False,[],"['Executive Vice President, General Counsel and Secretary of the general partners of Viper and Rattler']",
"Diamondback Energy, Inc.",0001539838,2020-04-24,Travis D. Stice,Travis D. Stice,"Chairman of the Board, Chief Executive Officer and Director",60,1250000,6782093,2921875,344831,13839995,2021,[],,[],True,[],[],
"Diamondback Energy, Inc.",0001539838,2020-04-24,Kaes Van’t Hof,Kaes Van’t Hof,President and Chief Financial Officer,35,520000,3560638,875160,953546,7243474,2021,"[{'degree': 'Bachelor of Science', 'field': 'Accounting and Business Administration', 'university': 'University of Southern California', 'year': None}]",July 2016,"['Chief Financial Officer and Executive Vice President of Business Development', 'Senior Vice President of Strategy and Corporate Development', 'Vice President of Strategy and Corporate Development']",True,[],"['President and director of the general partner of Viper', 'President and director of the general partner of Rattler']",
"Diamondback Energy, Inc.",0001539838,2020-04-24,Teresa L. Dick,Teresa L. Dick,"Executive Vice President, Chief Accounting Officer and Assistant Secretary",52,447000,2034575,668712,167434,4080102,2021,"[{'degree': 'Bachelor of Business Administration', 'field': 'Accounting', 'university': 'University of Northern Colorado', 'year': None}]",November 2007,"['Executive Vice President and Chief Financial Officer', 'Chief Financial Officer and Senior Vice President', 'Corporate Controller']",True,"['Audit Committee', 'Nominating and Corporate Governance Committee']","['Chief Financial Officer, Executive Vice President and Assistant Secretary of the general partner of Viper', 'Chief Financial Officer, Executive Vice President and Assistant Secretary of the general partner of Rattler']","Certified Public Accountant, member of the American Institute of CPAs and the Council of Petroleum Accountants Societies"
"Diamondback Energy, Inc.",0001539838,2020-04-24,Thomas F. Hawkins,Thomas F. Hawkins,Executive Vice President—Special Projects,68,,,,,,,"[{'degree': 'Bachelor of Business Administration', 'field': 'Finance', 'university': 'University of Texas at El Paso', 'year': None}]",,"['Executive Vice President—Land', 'Senior Vice President—Land']",False,[],[],
"Diamondback Energy, Inc.",0001539838,2020-04-24,Jennifer Soliman,Jennifer Soliman,Executive Vice President and Chief Human Resources Officer,52,,,,,,,"[{'degree': 'Bachelor of Arts', 'field': 'Organizational Behavior', 'university': 'Rollins College', 'year': None}, {'degree': 'Master of Business Administration', 'field': None, 'university': 'Rice University', 'year': None}]",,['Senior Vice President and Chief Human Resources Officer'],False,[],['Board of Jones Partners at the Rice Business School'],Previously served as a member of the United States Air Force Reserves
"Diamondback Energy, Inc.",0001539838,2020-04-24,Daniel N. Wesson,Daniel N. Wesson,Executive Vice President and Chief Operating Officer,38,,,,,,,"[{'degree': 'Bachelor of Science', 'field': 'Mechanical Engineering', 'university': 'Louisiana State University', 'year': None}]",February 2012,"['Executive Vice President of Operations', 'Senior Vice President of Operations', 'Vice President of Operations', 'Completions Manager', 'Operations Engineer']",False,[],[],Member of the Permian Basin Society of Petroleum Engineers
"Diamondback Energy, Inc.",0001539838,2020-04-24,Matt Zmigrosky,Matt Zmigrosky,"Executive Vice President, General Counsel and Secretary",43,520000,1627765,777920,125402,3660992,2021,"[{'degree': 'Bachelor of Science in Management', 'field': 'Finance', 'university': 'Tulane University', 'year': None}, {'degree': 'Juris Doctorate', 'field': None, 'university': 'Southern Methodist University Dedman School of Law', 'year': None}]",February 2019,[],False,[],"['Executive Vice President, General Counsel and Secretary of the general partners of Viper and Rattler']",
EQUIFAX INC,0000033185,2022-03-24,Mark W. Begor,Mark W. Begor,Chief Executive Officer,63,1500000,10100000,3600000,0,15200000,2021,[],2018,"['Managing Director at Warburg Pincus', 'President and CEO of GE Energy Management', 'President and CEO of GE Capital Real Estate', 'President and CEO of GE Capital Retail Finance (Synchrony Financial)']",True,[],['NCR Corporation (Lead Independent Director)'],
EQUIFAX INC,0000033185,2022-03-24,"John W. Gamble, Jr.","John W. Gamble, Jr.",Corporate Vice President and Chief Financial Officer,,741260,0,1260142,0,2001402,2021,[],,[],False,[],[],
EQUIFAX INC,0000033185,2022-03-24,Rodolfo O. Ploder,Rodolfo O. Ploder,"President, Workforce Solutions",,683173,0,1161394,0,1844567,2021,[],,[],False,[],[],
EQUIFAX INC,0000033185,2022-03-24,Bryson R. Koehler,Bryson R. Koehler,"Chief Technology, Product and Data & Analytics Officer",,676803,0,1015205,0,1692008,2021,[],,[],False,[],[],
EQUIFAX INC,0000033185,2022-03-24,Sid Singh,Sid Singh,"President, U.S. Information Solutions",,639904,0,838609,0,1478513,2021,[],,[],False,[],[],
EQUIFAX INC,0000033185,2021-03-25,Mark W. Begor,Mark W. Begor,Chief Executive Officer,63,1500000,10100000,3600000,0,15200000,2021,[],2018,"['Managing Director at Warburg Pincus', 'President and CEO of GE Energy Management', 'President and CEO of GE Capital Real Estate', 'President and CEO of GE Capital Retail Finance (Synchrony Financial)']",True,[],['NCR Corporation (Lead Independent Director)'],
EQUIFAX INC,0000033185,2021-03-25,"John W. Gamble, Jr.","John W. Gamble, Jr.",Corporate Vice President and Chief Financial Officer,,741260,0,1260142,0,2001402,2021,[],,[],False,[],[],
EQUIFAX INC,0000033185,2021-03-25,Rodolfo O. Ploder,Rodolfo O. Ploder,"President, Workforce Solutions",,683173,0,1161394,0,1844567,2021,[],,[],False,[],[],
EQUIFAX INC,0000033185,2021-03-25,Bryson R. Koehler,Bryson R. Koehler,"Chief Technology, Product and Data & Analytics Officer",,676803,0,1015205,0,1692008,2021,[],,[],False,[],[],
EQUIFAX INC,0000033185,2021-03-25,Sid Singh,Sid Singh,"President, U.S. Information Solutions",,639904,0,838609,0,1478513,2021,[],,[],False,[],[],
EQUIFAX INC,0000033185,2020-03-27,Mark W. Begor,Mark W. Begor,Chief Executive Officer,63,1500000,10100000,3600000,0,15200000,2021,[],2018,"['Managing Director at Warburg Pincus', 'President and CEO of GE Energy Management', 'President and CEO of GE Capital Real Estate', 'President and CEO of GE Capital Retail Finance (Synchrony Financial)']",True,[],['NCR Corporation (Lead Independent Director)'],
EQUIFAX INC,0000033185,2020-03-27,"John W. Gamble, Jr.","John W. Gamble, Jr.",Corporate Vice President and Chief Financial Officer,,741260,0,1260142,0,2001402,2021,[],,[],False,[],[],
EQUIFAX INC,0000033185,2020-03-27,Rodolfo O. Ploder,Rodolfo O. Ploder,"President, Workforce Solutions",,683173,0,1161394,0,1844567,2021,[],,[],False,[],[],
EQUIFAX INC,0000033185,2020-03-27,Bryson R. Koehler,Bryson R. Koehler,"Chief Technology, Product and Data & Analytics Officer",,676803,0,1015205,0,1692008,2021,[],,[],False,[],[],
EQUIFAX INC,0000033185,2020-03-27,Sid Singh,Sid Singh,"President, U.S. Information Solutions",,639904,0,838609,0,1478513,2021,[],,[],False,[],[],
EQUIFAX INC,0000033185,2019-03-22,Mark W. Begor,Mark W. Begor,Chief Executive Officer,63,1500000,10100000,3600000,0,15200000,2021,[],2018,"['Managing Director at Warburg Pincus', 'President and CEO of GE Energy Management', 'President and CEO of GE Capital Real Estate', 'President and CEO of GE Capital Retail Finance (Synchrony Financial)']",True,[],['NCR Corporation (Lead Independent Director)'],
EQUIFAX INC,0000033185,2019-03-22,"John W. Gamble, Jr.","John W. Gamble, Jr.",Corporate Vice President and Chief Financial Officer,,741260,0,1260142,0,2001402,2021,[],,[],False,[],[],
EQUIFAX INC,0000033185,2019-03-22,Rodolfo O. Ploder,Rodolfo O. Ploder,"President, Workforce Solutions",,683173,0,1161394,0,1844567,2021,[],,[],False,[],[],
EQUIFAX INC,0000033185,2019-03-22,Bryson R. Koehler,Bryson R. Koehler,"Chief Technology, Product and Data & Analytics Officer",,676803,0,1015205,0,1692008,2021,[],,[],False,[],[],
EQUIFAX INC,0000033185,2019-03-22,Sid Singh,Sid Singh,"President, U.S. Information Solutions",,639904,0,838609,0,1478513,2021,[],,[],False,[],[],
Eaton Corp plc,0001551182,2022-03-18,Craig Arnold,Craig Arnold,Chairman and Chief Executive Officer,61,,,,,,,[],2000,"['Senior Vice President and Group Executive of the Fluid Power Group', 'Vice Chairman and Chief Operating Officer of the Industrial Sector', 'President and Chief Operating Officer']",True,[],"['Medtronic plc', 'The Business Roundtable', 'University Hospitals Health System', 'The Greater Cleveland Partnership', 'United Way of Greater Cleveland']",
Eaton Corp plc,0001551182,2022-03-18,Christopher M. Connor,Christopher M. Connor,"Retired Chairman and Chief Executive Officer, The Sherwin-Williams Company",65,,,,,,,[],,[],True,[],"['Yum! Brands, Inc.', 'International Paper Company', 'Playhouse Square Foundation', 'The Rock and Roll Hall of Fame']",
