company_name,cik,filing_date,name,age,current_role,past_roles,compensation_salary,compensation_stock,compensation_bonus,compensation_other,compensation_total,compensation_year,start_date,board_member,committee_memberships,other_board_memberships,notable_achievements,education1_degree,education1_field,education1_university,education1_year,education2_degree,education2_field,education2_university,education2_year,education3_degree,education3_field,education3_university,education3_year
DNP SELECT INCOME FUND INC,0000806628,2024-01-24,Eileen A. Moran,69,Director and Vice Chair of the Board,"President and Chief Executive Officer, PSEG Resources L.L.C.",0,0,0,0,98000,2023,"2008 (DNP), 2011 (DPG), 1996 (DTF)",True,Contracts Committee (Chair); Executive Committee,,,,,,,,,,,,,,
DNP SELECT INCOME FUND INC,0000806628,2024-01-24,Mareilé B. Cusack,65,Director,"General Counsel, Ariel Investments, LLC; Vice President, Ariel Investment Trust; Vice President, General Counsel, Secretary and Anti-Money Laundering Officer, Ariel Distributors, LLC",0,0,0,0,51500,2023,2023,True,Audit Committee,,,,,,,,,,,,,,
DNP SELECT INCOME FUND INC,0000806628,2024-01-24,Philip R. McLoughlin,77,Director,"Chairman of the Board, Lazard World Trust Fund",0,0,0,0,635000,2023,"2009 (DNP), 2011 (DPG), 1996 (DTF)",True,Audit Committee,Lazard World Trust Fund,,,,,,,,,,,,,
DNP SELECT INCOME FUND INC,0000806628,2024-01-24,Geraldine M. McNamara,72,Director,"Managing Director, U.S. Trust Company of New York",0,0,0,0,503897,2023,"2009 (DNP), 2011 (DPG), 2003 (DTF)",True,Nominating and Governance Committee (Chair); Executive Committee,,,,,,,,,,,,,,
DNP SELECT INCOME FUND INC,0000806628,2024-01-24,David J. Vitale,77,Director and Chair of the Board,"Advisor, Ariel Investments, LLC; President, Chicago Board of Education; Senior Advisor to the CEO, Chicago Public Schools",0,0,0,0,140000,2023,"2000 (DNP), 2011 (DPG), 2005 (DTF)",True,Executive Committee,"Ariel Alternatives, LLC; United Airlines Holdings, Inc.; Ariel Investments, LLC; Wheels, Inc.; Urban Partnership Bank",,,,,,,,,,,,,
"Dolby Laboratories, Inc.",0001308547,2022-12-19,Kevin Yeaman,56,President and Chief Executive Officer,,,,,,,2022,2009,True,,,,,,,,,,,,,,,
"Dolby Laboratories, Inc.",0001308547,2022-12-19,Lewis Chew,,Former Executive Vice President and Chief Financial Officer,,,,,,,2022,,False,,,,,,,,,,,,,,,
"Dolby Laboratories, Inc.",0001308547,2022-12-19,Robert Park,,Senior Vice President and Chief Financial Officer,,,,,,,2022,,False,,,,,,,,,,,,,,,
"Dolby Laboratories, Inc.",0001308547,2022-12-19,Andy Sherman,,"Executive Vice President, General Counsel and Corporate Secretary",,,,,,,2022,,False,,,,,,,,,,,,,,,
"Dolby Laboratories, Inc.",0001308547,2022-12-19,John Couling,,"Senior Vice President, Entertainment",,,,,,,2022,,False,,,,,,,,,,,,,,,
"Dolby Laboratories, Inc.",0001308547,2022-12-19,Shriram Revankar,,"Senior Vice President, Advanced Technology Group",,,,,,,2022,May 2022,False,,,,,,,,,,,,,,,
"ENERGIZER HOLDINGS, INC.",0001632790,2022-12-15,Mark S. LaVigne,51,President and Chief Executive Officer,,1000000,4836779,1106853,106751,9000000,2022,,True,Finance and Oversight,,,,,,,,,,,,,,
"ENERGIZER HOLDINGS, INC.",0001632790,2022-12-15,John J. Drabik,,,,,1549951,243485,24909,,2022,,,,,,,,,,,,,,,,,
"ENERGIZER HOLDINGS, INC.",0001632790,2022-12-15,Michael A. Lampman,,,,,806154,141184,24634,,2022,,,,,,,,,,,,,,,,,
"ENERGIZER HOLDINGS, INC.",0001632790,2022-12-15,Robin W. Vauth,,,,,806154,131722,10812,,2022,,,,,,,,,,,,,,,,,
"ENERGIZER HOLDINGS, INC.",0001632790,2022-12-15,Susan K. Drath,,,,,537452,119735,23686,,2022,,,,,,,,,,,,,,,,,
ESCO TECHNOLOGIES INC,0000866706,2022-12-14,Victor L. Richey Jr.,,"Chairman, Chief Executive Officer & President",,898100,2963694,1516010,74911,5452715,2022,,True,,,,,,,,,,,,,,,
ESCO TECHNOLOGIES INC,0000866706,2022-12-14,Christopher L. Tucker,,Senior Vice President & Chief Financial Officer,,522000,730600,549840,52103,1854543,2022,,False,,,,,,,,,,,,,,,
ESCO TECHNOLOGIES INC,0000866706,2022-12-14,David M. Schatz,,"Senior Vice President, General Counsel & Secretary",Vice President and IP Counsel,357000,356259,241740,48210,1003209,2022,,False,,,,,,,,,,,,,,,
"Edgewise Therapeutics, Inc.",0001710072,2024-04-26,"Kevin Koch, Ph.D.",63,"President, Chief Executive Officer and Director",Chief Financial Officer; Venture Partner at OrbiMed Advisors LLC,594880,0,297440,13200,3975855,2023,2017,True,,"Neurogastrx, Inc.",,B.S.,Chemistry and Biochemistry,State University of New York at Stony Brook,,Ph.D.,Organic Chemistry,University of Rochester,,,,,
"Edgewise Therapeutics, Inc.",0001710072,2024-04-26,"Behrad Derakhshan, Ph.D.",44,Chief Business Officer,"Chief Business Officer at VectivBio; Vice President, Head of Business Development at Therachon",446667,0,184000,0,1756317,2023,2020,False,,,,BSc.,Biochemistry,University of Surrey,,Ph.D.,Biochemistry,"Weill Cornell Medicine, New York and University of Surrey, UK",,,,,
"Edgewise Therapeutics, Inc.",0001710072,2024-04-26,"Joanne M. Donovan, M.D., Ph.D.",67,Chief Medical Officer,"Chief Medical Officer at Astria Therapeutics, Inc.; Vice President of Clinical Development at Genzyme Corporation",488000,0,195200,13200,1716844,2023,2021,False,,,,B.S.,Chemistry and Biology,Massachusetts Institute of Technology,,M.S.,Chemical Engineering,Massachusetts Institute of Technology,,Ph.D.,Medical Engineering and Medical Physics,Massachusetts Institute of Technology,
EverCommerce Inc.,0001853145,2024-04-29,Eric Remer,52,Chief Executive Officer and Chairman of the Board of Directors,Founder and CEO of PaySimple; Founder and CEO of Conclave Group LLC; Co-founder of I-Behavior LLC,650000,,687375,,,2023,2016,True,,,,B.A.,History,University of Michigan,,,,,,,,,
EverCommerce Inc.,0001853145,2024-04-29,Matthew Feierstein,51,President,President of PaySimple; Chief Operating Officer of Pronto.com; Senior roles at Citysearch.com,425000,,399500,,,2023,2016,False,,,,B.A.,History,University of Michigan,,,,,,,,,
EverCommerce Inc.,0001853145,2024-04-29,Marc Thompson,59,Chief Financial Officer,"Managing Director, Co-Head of Investment Banking at Oppenheimer & Co.; Managing Director, Head of Software & Services Group at Oppenheimer & Co.; Managing Director of CIBC Capital Partners",425000,,399500,13613,,2023,2016,False,,,,B.A.,Economics,Dartmouth College,,,,,,,,,
FAIR ISAAC CORP,0000814547,2023-01-25,William Lansing,,Chief Executive Officer,,750000,16942011,1200000,21770,18913781,2022,,,,,,,,,,,,,,,,,
FAIR ISAAC CORP,0000814547,2023-01-25,Michael McLaughlin,,Executive Vice President and Chief Financial Officer,,400000,4841157,275000,27570,5546728,2022,,,,,,,,,,,,,,,,,
FAIR ISAAC CORP,0000814547,2023-01-25,Stephanie Covert,,"Executive Vice President, Software",,480769,7261057,375000,9866,8126692,2022,,,,,,,,,,,,,,,,,
FAIR ISAAC CORP,0000814547,2023-01-25,Mark Scadina,,"Executive Vice President, General Counsel and Corporate Secretary",,400000,4841157,300000,30084,5571242,2022,,,,,,,,,,,,,,,,,
FAIR ISAAC CORP,0000814547,2023-01-25,James Wehmann,,"Executive Vice President, Scores",,500000,7261057,375000,11846,8147903,2022,,,,,,,,,,,,,,,,,
FAIR ISAAC CORP,0000814547,2023-01-25,Claus Moldt,,Former Executive Vice President and Chief Technology Officer,"Vice President, Technology",500000,7261057,0,12615,7773673,2022,,,,,,,,,,,,,,,,,
FRANKLIN RESOURCES INC,0000038777,2022-12-28,Jennifer M. Johnson,58,President and Chief Executive Officer,Chief Operating Officer; Co-President; Executive Vice President and Chief Operating Officer; Executive Vice President – Operations and Technology; Senior Vice President and Chief Information Officer,752885,11158859,3650000,173255,15734998,2022,2020,True,,,,,,,,,,,,,,,
FRANKLIN RESOURCES INC,0000038777,2022-12-28,Gregory E. Johnson,61,Executive Chairman and Chairman of the Board,Chief Executive Officer; Co-Chief Executive Officer; President,602308,1676263,1150000,219174,3648453,2022,2007,True,,Chairman of the San Francisco Giants,,,,,,,,,,,,,
FRANKLIN RESOURCES INC,0000038777,2022-12-28,Matthew Nicholls,,"Executive Vice President, Chief Financial Officer and Chief Operating Officer",,591924,5221849,3025000,177307,9016080,2022,,False,,,,,,,,,,,,,,,
FRANKLIN RESOURCES INC,0000038777,2022-12-28,Adam Spector,,"Executive Vice President, Global Advisory Services",,527020,2891215,4988415,31988,8438638,2022,,False,,,,,,,,,,,,,,,
FRANKLIN RESOURCES INC,0000038777,2022-12-28,Jed A. Plafker,,Executive Vice President,,527020,2597059,1150000,25173,4299251,2022,,False,,,,,,,,,,,,,,,
FS KKR Capital Corp,0001422183,2024-04-26,Brian R. Ford,75,Independent Director,"Partner and CPA at Ernst & Young LLP; CEO of Washington Philadelphia Partners, LP",,,,,225000,2023,2018,True,Audit Committee,"Clearway Energy, Inc.; AmeriGas Propane, Inc.; FS Energy Total Return Fund; FS Credit Income Fund; FS Multi-Alternative Income Fund; FS KKR Capital Corp. II; KKR FS Income Trust; KKR FS Income Trust Select",Certified Public Accountant,B.S.,Economics,Rutgers University,,,,,,,,,
FS KKR Capital Corp,0001422183,2024-04-26,Richard I. Goldstein,63,Independent Director,"COO of Radius Global Infrastructure Inc.; Managing Director of Liberty Associated Partners, LP; Managing Director of Associated Partners, LP; Vice President of The Associated Group, Inc.",,,,,210000,2023,2018,True,Valuation Committee,FS Specialty Lending Fund; FSKR; KKR FS Income Trust; KKR FS Income Trust Select,Training in Management Information Systems at MIT,Bachelor of Science,Business and Economics,Carnegie Mellon University,,,,,,,,,
FS KKR Capital Corp,0001422183,2024-04-26,Osagie Imasogie,62,Independent Director,"Co-founder and Senior Managing Partner of PIPV Capital; Founding Vice President of GlaxoSmithKline Ventures; Senior Commercial and R&D positions at GSK, SmithKline, DuPont Merck, and Endo",,,,,210000,2023,2019,True,Audit Committee; Valuation Committee,FSKR; KKR FS Income Trust; KKR FS Income Trust Select,Appointed by President Biden as an inaugural member of the President’s Advisory Council on African Diaspora Engagement in the United States,Post-graduate degrees,Law,University of Pennsylvania Law School,,Post-graduate degrees,,London School of Economics,,,,,
FS KKR Capital Corp,0001422183,2024-04-26,Daniel Pietrzak,49,"Interested Director, Co-President, and Chief Investment Officer",Co-President and Chief Investment Officer of FS KKR Capital Corp. II; Member of KKR Credit and Global Head of Private Credit; Managing Director and Co-Head of Deutsche Bank’s Structured Finance business,,,,,,2023,2022,True,,"Toorak Capital Partners, LLC; Pepper Group Limited; Oodle Car Finance; KKR FS Income Trust; KKR FS Income Trust Select",Certified Public Accountant,M.B.A.,Finance,The Wharton School of the University of Pennsylvania,,B.S.,Accounting,Lehigh University,,,,,
FTAI Aviation Ltd.,0001590364,2024-04-12,"Joseph P. Adams, Jr.",66,Chief Executive Officer and Chairman of the Board of Directors,"Partner at Brera Capital Partners; Partner at Donaldson, Lufkin & Jenrette; Executive Director of the Air Transportation Stabilization Board",,,,,,2023,May 2015,True,,"Chairman of FTAI Infrastructure Inc.; Former member of Seacastle, Inc., SeaCube Container Leasing Ltd., Aircastle Limited, and RailAmerica Inc.",,B.S.,Engineering,University of Cincinnati,,MBA,,Harvard Business School,,,,,
FTAI Aviation Ltd.,0001590364,2024-04-12,Eun (Angela) Nam,42,Chief Financial Officer and Chief Accounting Officer,Senior Vice President of the Fortress Private Equity group; Interim Chief Accounting Officer of Drive Shack Inc.,200000,0,1250000,10310,1460310,2023,August 2018,False,,,Certified Public Accountant,Bachelor of Business Administration,Finance and Accounting,Emory University,,,,,,,,,
GRIFFON CORP,0000050725,2024-01-29,Robert F. Mehmel,,,,,,,,1137621,2023,,,,,,,,,,,,,,,,,
GRIFFON CORP,0000050725,2024-01-29,General Victor Eugene Renuart (USAF Ret.),,,,,,,,39917,2023,,,,,,,,,,,,,,,,,
GRIFFON CORP,0000050725,2024-01-29,James W. Sight,,,,,,,,20843,2023,,,,,,,,,,,,,,,,,
GRIFFON CORP,0000050725,2024-01-29,Samanta Hegedus Stewart,,,,,,,,25927,2023,,,,,,,,,,,,,,,,,
GRIFFON CORP,0000050725,2024-01-29,Kevin F. Sullivan,,,,,,,,61312,2023,,,,,,,,,,,,,,,,,
GRIFFON CORP,0000050725,2024-01-29,Michelle L. Taylor,,,,,,,,7554,2023,,,,,,,,,,,,,,,,,
GRIFFON CORP,0000050725,2024-01-29,Cheryl L. Turnbull,,,,,,,,37205,2023,,,,,,,,,,,,,,,,,
"Global Business Travel Group, Inc.",0001820872,2022-12-15,Paul Abbott,,Chief Executive Officer,,1233717,9000000,4050255,115001,18398973,2021,"June 5, 2020",True,,,,,,,,,,,,,,,
"Global Business Travel Group, Inc.",0001820872,2022-12-15,Andrew Crawley,,Chief Commercial Officer,,804318,3750000,1140000,70818,7015136,2021,"November 26, 2019",False,,,,,,,,,,,,,,,
"Global Business Travel Group, Inc.",0001820872,2022-12-15,Michael Qualantone,,Chief Revenue Officer,,578750,3448920,1000000,36400,5564070,2021,"April 1, 2019",False,,,,,,,,,,,,,,,
GoDaddy Inc.,0001609711,2023-04-20,Aman Bhutani,47,Chief Executive Officer,,1000000,16829370,600000,216520,18645890,2022,2019,False,,,,,,,,,,,,,,,
GoDaddy Inc.,0001609711,2023-04-20,Mark McCaffrey,,Chief Financial Officer,,525000,5909148,252000,22826,6708974,2022,,False,,,,,,,,,,,,,,,
GoDaddy Inc.,0001609711,2023-04-20,Roger Chen,,Chief Operating Officer,,496393,6005449,242465,178273,6922580,2022,,False,,,,,,,,,,,,,,,
GoDaddy Inc.,0001609711,2023-04-20,Nick Daddario,,Chief Accounting Officer,,330712,582535,90133,7879,1011259,2022,,False,,,,,,,,,,,,,,,
GoDaddy Inc.,0001609711,2023-04-20,Michele Lau,,Chief Legal Officer and Corporate Secretary,,493365,4431861,230014,19290,5174530,2022,,False,,,,,,,,,,,,,,,
HEICO CORP,0000046619,2023-02-03,Laurans A. Mendelson,,Chairman of the Board and Chief Executive Officer,,1267940,0,5007531,2831820,9107291,2022,,True,,,,,,,,,,,,,,,
HEICO CORP,0000046619,2023-02-03,"Carlos L. Macau, Jr.",,Executive Vice President - Chief Financial Officer,,784015,0,972255,621747,2378017,2022,,False,,,,,,,,,,,,,,,
HEICO CORP,0000046619,2023-02-03,Eric A. Mendelson,,"Co-President, HEICO Corporation; President and Chief Executive Officer of the HEICO Flight Support Group",,1113669,0,1381074,1101753,3596496,2022,,True,,,,,,,,,,,,,,,
HEICO CORP,0000046619,2023-02-03,Victor H. Mendelson,,"Co-President, HEICO Corporation; President and Chief Executive Officer of the HEICO Electronic Technologies Group",,1113669,0,1381074,1099633,3594376,2022,,True,,,,,,,,,,,,,,,
HEICO CORP,0000046619,2023-02-03,Steven M. Walker,,Chief Accounting Officer,,355970,286510,350000,45711,1038191,2022,,False,,,,,,,,,,,,,,,
HORMEL FOODS CORP /DE/,0000048465,2022-12-21,James P. Snee,55,"Chairman of the Board, President and Chief Executive Officer","President and Chief Executive Officer; President and Chief Operating Officer; Group Vice President and President, Hormel Foods International Corporation; Vice President and Senior Vice President, Hormel Foods International Corporation; Vice President, Affiliated Business Units",,,,,,2023,2015,True,,"Republic Services, Inc.; Consumer Brands Association; North American Meat Institute; The Hormel Foundation",,,,,,,,,,,,,
HORMEL FOODS CORP /DE/,0000048465,2022-12-21,Steven A. White,62,"President, Special Counsel to the CEO","President, Comcast West Division; Regional Senior Vice President, Comcast California; Regional Senior Vice President, Comcast Mid-South Region; Regional Vice President of AT&T Broadband, LLC; Regional Vice President of Telecommunications, Inc.",,,,,,2023,2014,True,,"W.W. Grainger, Inc.; Shaw Communications Inc.; Comcast Foundation",,,,,,,,,,,,,
Hut 8 Corp.,0001964789,2024-04-26,Asher Genoot,29,Chief Executive Officer and Director,President,265692,1167356,0,18588,1451636,2023,,True,,,,,,,,,,,,,,,
Hut 8 Corp.,0001964789,2024-04-26,Michael Ho,30,Chief Strategy Officer and Director,Chief Executive Officer of USBTC,271465,5685103,0,0,5956568,2023,,True,,,,,,,,,,,,,,,
Hut 8 Corp.,0001964789,2024-04-26,Jaime Leverton,,Chief Executive Officer,,47258,0,0,0,47258,2023,,False,,,,,,,,,,,,,,,
Hut 8 Corp.,0001964789,2024-04-26,Joel Block,,Former Chief Financial Officer,Chief Financial Officer of USBTC,300000,182950,0,0,482950,2023,,False,,,,,,,,,,,,,,,
INTERNATIONAL FLAVORS & FRAGRANCES INC,0000051253,2024-03-21,"Frank K. Clyburn, Jr.",,Chief Executive Officer,,1300000,8249977,1121250,76426,10747653,2023,2022,False,,,,,,,,,,,,,,,
INTERNATIONAL FLAVORS & FRAGRANCES INC,0000051253,2024-03-21,Glenn Richter,,"EVP, Chief Financial and Business Transformation Officer",,789375,2399912,415294,63704,3668285,2023,2021,False,,,,,,,,,,,,,,,
INTERNATIONAL FLAVORS & FRAGRANCES INC,0000051253,2024-03-21,Yuvraj Arora,,"President, Nourish",,366154,3999974,168919,17500,5102547,2023,2023,False,,,,,,,,,,,,,,,
INTERNATIONAL FLAVORS & FRAGRANCES INC,0000051253,2024-03-21,Simon Herriott,,"President, Health and Biosciences and Scent",,634500,1199971,480146,77030,2391647,2023,2023,False,,,,,,,,,,,,,,,
INTERNATIONAL FLAVORS & FRAGRANCES INC,0000051253,2024-03-21,Jennifer Johnson,,"EVP, General Counsel and Corporate Secretary",,613462,1200056,290950,67758,2172226,2023,,False,,,,,,,,,,,,,,,
"Intapp, Inc.",0001565687,2023-10-03,John Hall,,Chief Executive Officer,Early executive at VA Linux Systems,474500,2208000,404270,9830,3096600,2023,2007,True,,,,,,,,,,,,,,,
"Intapp, Inc.",0001565687,2023-10-03,Thad Jampol,,Co-Founder and Chief Product Officer,,461300,1324800,343900,9846,2139846,2023,,False,,,,,,,,,,,,,,,
"Intapp, Inc.",0001565687,2023-10-03,Don Coleman,,Chief Operating Officer,,408500,1324800,304540,9899,2047739,2023,,False,,,,,,,,,,,,,,,
"Intapp, Inc.",0001565687,2023-10-03,Beverly Allen,,Director,"Senior Vice President, General Counsel, Chief Compliance and Privacy Officer, and Corporate Secretary of Inovalon Holdings, Inc.; Chief Integrity Officer at MedStar Washington Hospital Center; Leadership positions at Booz Allen Hamilton, SRA International, U.S. Department of Homeland Security, and U.S. Department of Education’s District of Columbia Enforcement Office",44000,203424,0,0,247424,2023,February 2022,True,Audit Committee; Nominating and Corporate Governance Committee,,,B.A.,,University of Virginia,,J.D.,,University of North Carolina School of Law,,Master’s degree,,Georgetown University,
"Intapp, Inc.",0001565687,2023-10-03,Nancy Harris,,Director,"Executive Vice President and Managing Director of Sage North America; Chief Operating Officer of ESO Solutions; Chief Operating Officer of Asure Software; Vice President of Marketing at ClearCommerce Corporation; Director of Product Marketing at BMC Software, Inc.",40063,203424,0,0,243487,2023,July 2021,True,Audit Committee,,,B.S.,Journalism,Northwestern University,,Masters,Marketing,Northwestern University,,,,,
"Intapp, Inc.",0001565687,2023-10-03,Derek Schoettle,,Director,"Growth Partner at Great Hill Partners, L.P.; Chief Executive Officer of Zoom Information, Inc.; General Manager at IBM; Chief Executive Officer of Cloudant, Inc.",38000,203424,0,0,241424,2023,February 2020,True,Nominating and Corporate Governance Committee,Forbes Technology Council; Mass Technology Leadership Council; Entrepreneur in Residence at The Blank Center at Babson College,,,,,,,,,,,,,
"IonQ, Inc.",0001824920,2024-04-25,Peter Chapman,63,President and Chief Executive Officer,,,,,,,,,True,,,,,,,,,,,,,,,
"IonQ, Inc.",0001824920,2024-04-25,Rima Alameddine,58,Chief Revenue Officer,"Vice President, Enterprise Sales, Healthcare, Life Science and Manufacturing, Americas, NVIDIA Corporation; Vice President, Enterprise Sales, East and Central United States, NVIDIA Corporation; Director, Enterprise Sales, New York, Cisco Systems, Inc.; Director, Enterprise Sales, Financial Services, Cisco Systems, Inc.",,,,,,,December 2022,False,,,,M.S.,Computer Engineering,Syracuse University,,B.S.,Computer and Communications Engineering,American University of Beirut,,,,,
"IonQ, Inc.",0001824920,2024-04-25,Thomas Kramer,53,Chief Financial Officer,"Chief Financial Officer, legacy IonQ; Managing Director, Remarque Advisory; Chief Financial Officer, Opower, Inc.; Chief Financial Officer, Cvent, Inc.; Consultant, Boston Consulting Group",,,,,,,September 2021,False,,,,M.B.A.,,Harvard Business School,,M.S.,Economics,Norwegian School of Economics,,,,,
J&J SNACK FOODS CORP,0000785956,2023-01-03,Dan Fachner,,President and Chief Executive Officer,,896154,1500032,630000,21972,3048158,2022,,False,,,,,,,,,,,,,,,
J&J SNACK FOODS CORP,0000785956,2023-01-03,Ken Plunk,,Chief Financial Officer,,493942,399926,262500,2925,1159293,2022,,False,,,,,,,,,,,,,,,
J&J SNACK FOODS CORP,0000785956,2023-01-03,Robert Cranmer,,Senior Vice President-Operations,,271154,150050,79800,10047,511051,2022,,False,,,,,,,,,,,,,,,
J&J SNACK FOODS CORP,0000785956,2023-01-03,Stephen J. Every,,Chief Operating Officer-ICEE Company,,320000,150050,128000,9790,609840,2022,,False,,,,,,,,,,,,,,,
J&J SNACK FOODS CORP,0000785956,2023-01-03,Lynwood Mallard,,Senior Vice President and Chief Marketing Officer,,274231,150050,79800,2451,506531,2022,,False,,,,,,,,,,,,,,,
Johnson Controls International plc,0000833444,2023-01-20,George Oliver,,Chairman & Chief Executive Officer,,1500000,8249888,1924800,504680,14929350,2022,,,,,,,,,,,,,,,,,
Johnson Controls International plc,0000833444,2023-01-20,Olivier Leonetti,,Executive Vice President & Chief Financial Officer,,775000,2174863,621550,37700,4334104,2022,,,,,,,,,,,,,,,,,
Johnson Controls International plc,0000833444,2023-01-20,Rodney Clark,,"Vice President, Chief Commercial Officer",,250962,3899988,180944,5019,6736913,2022,2022-06-01,,,,,,,,,,,,,,,,
Johnson Controls International plc,0000833444,2023-01-20,John Donofrio,,"Executive Vice President, General Counsel",,700000,1649899,505260,141022,3546166,2022,,,,,,,,,,,,,,,,,
Johnson Controls International plc,0000833444,2023-01-20,Ganesh Ramaswamy,,Vice President & President — Global Services,,725000,1649899,523305,29500,3477689,2022,,,,,,,,,,,,,,,,,
Johnson Controls International plc,0000833444,2023-01-20,Jeffrey M. Williams,,"Former VP & President — Global Products, Building Technologies and Solutions",,667693,2249948,509325,1010670,5187631,2022,,,,,,,,,,,,,,,,,
KB HOME,0000795266,2023-03-10,Jeffrey T. Mezger,67,"Chairman, President and Chief Executive Officer","Executive Vice President and Chief Operating Officer; Division President, Arizona Division; Senior Vice President and Regional General Manager over Arizona and Nevada",1150000,7105882,7480000,78909,15814791,2022,1993,True,,,Inducted into the California Homebuilding Foundation Hall of Fame in 2012,,,,,,,,,,,,
KB HOME,0000795266,2023-03-10,Jeff J. Kaminski,,Executive Vice President and Chief Financial Officer,,785417,1400008,2272201,60234,4517860,2022,,False,,,,,,,,,,,,,,,
KB HOME,0000795266,2023-03-10,Robert V. McGibney,,Executive Vice President and Chief Operating Officer,,770833,1999998,3656299,59308,6486438,2022,,False,,,,,,,,,,,,,,,
KB HOME,0000795266,2023-03-10,Albert Z. Praw,,"Executive Vice President, Real Estate and Business Development",,650417,899986,1821451,51666,3423520,2022,,False,,,,,,,,,,,,,,,
KB HOME,0000795266,2023-03-10,Brian J. Woram,,Executive Vice President and General Counsel,,650417,1045327,1489600,52134,3237478,2022,,False,,,,,,,,,,,,,,,
KIMCO REALTY CORP,0000879101,2024-11-04,Milton Cooper,,Executive Chairman of the Board of Directors,Chairman of the Board of Directors and CEO; Director and President,,,,,,,1960,True,Investment Committee,Getty Realty Corporation,Nareit Industry Leadership Award,,,City College in New York,,,,Brooklyn Law School,,,,,
KIMCO REALTY CORP,0000879101,2024-11-04,Conor C. Flynn,,Chief Executive Officer and Director,"President; Chief Operating Officer; Chief Investment Officer; President, Western Region",,,,,,,2003,True,,Nareit (First Vice Chair); Real Estate Roundtable; ICSC (past trustee),,B.A.,,Yale University,,Master’s,Real Estate Development,Columbia University,,,,,
KIMCO REALTY CORP,0000879101,2024-11-04,Glenn G. Cohen,,Executive Vice President and Chief Financial Officer,Treasurer; Director of Accounting and Taxation,,,,,,,1995,True,Investment Committee,"Piedmont Office Realty Trust, Inc.; Quality Care Properties, Inc.",Certified Public Accountant,Bachelor of Science,Accounting,State University of New York at Albany,1985,,,,,,,,
KIMCO REALTY CORP,0000879101,2024-11-04,David Jamieson,,Executive Vice President and Chief Operating Officer,Executive Vice President of Asset Management and Operations; Vice President of Asset Management and Leasing for the Western Region; Director of Real Estate for the Western Region,,,,,,,,True,Investment Committee,,,B.S.,,Boston College,,M.B.A.,,Babson College,,,,,
KIMCO REALTY CORP,0000879101,2024-11-04,Ross Cooper,,President and Chief Investment Officer,Executive Vice President and Chief Investment Officer,,,,,,,,True,Investment Committee,ICSC (Board of Trustees),,B.S.,,University of Michigan,,Master’s,Real Estate,New York University,,,,,
KULICKE & SOFFA INDUSTRIES INC,0000056978,2023-01-19,Fusen Chen,63,President and CEO,"President and CEO of Mattson Technology; Executive Vice President, Semiconductor System Products at Novellus Systems; Executive Vice President and Chief Technology Officer at Novellus Systems; Senior Vice President, Asia Pacific Operations at Novellus Systems; Various management positions at Applied Materials",813750,4131665,1242724,33764,6221903,2022,2016,True,,,,Ph.D.,Materials Science and Engineering,State University of New York,,B.S.,Materials Science and Engineering,"Tsing Hua University (Hsinchu, Taiwan)",,,,,
KULICKE & SOFFA INDUSTRIES INC,0000056978,2023-01-19,Lester Wong,,"Executive Vice President, Chief Financial Officer","General Counsel and Senior Vice President, Legal Affairs; Interim Chief Financial Officer and Interim Principal Accounting Officer",413468,881066,415298,61706,1771538,2022,2011,False,,,,,,,,,,,,,,,
KULICKE & SOFFA INDUSTRIES INC,0000056978,2023-01-19,Chan Pin Chong,,"Executive Vice President & GM, K&S Products & Solutions","Vice President, Wedge Bonder",409628,644287,379806,12996,1446717,2022,2014,False,,,,,,,,,,,,,,,
KULICKE & SOFFA INDUSTRIES INC,0000056978,2023-01-19,Robert Chylak,,"Senior Vice President & CTO, Central Engineering","Vice President, Global R&D Engineering; Vice President, Central Engineering and Chief Technology Officer",352052,511649,258461,14562,1136724,2022,1980,False,,,,,,,,,,,,,,,
KULICKE & SOFFA INDUSTRIES INC,0000056978,2023-01-19,Nelson Wong,,"Senior Vice President, Global Sales & Supply Chain","Vice President, Business Unit Executive",398809,644287,373074,34712,1450882,2022,1997,False,,,,,,,,,,,,,,,
"Keysight Technologies, Inc.",0001601046,2023-01-23,Satish C. Dhanasekaran,50,President and Chief Executive Officer,"Senior Vice President and Chief Operating Officer; Senior Vice President and President of the Communications Solutions Group; Vice President and General Manager, Wireless Devices and Operators Business Unit; General Manager of the Mobile Broadband Operation; Marketing function for the Signal Analysis and Signal Sources Division",,,,,,2023,May 2022,True,,,,,,,,,,,,,,,
"Keysight Technologies, Inc.",0001601046,2023-01-23,Ronald S. Nersesian,63,Executive Chair,"Chair of the Board; President and Chief Executive Officer; President, Chief Executive Officer and Director; Various senior executive and senior management roles at Agilent, LeCroy and HP",,,,,,2023,December 2013,True,Executive (Chair),"Trimble, Inc.",,Bachelor of Science,Electrical Engineering,Lehigh University,,MBA,,"New York University, Stern School of Business",,,,,
